3MA	[np] - 3MA [np]
Afrique-Orientale Allemande	[np] - África Oriental Alemana [np]
Afrique-Orientale Anglaise	[np] - África Oriental Británica [np]
Afrique-Équatoriale Française	[np] - África ecuatorial francesa [np]
afro-américain	[n] - afroamericano [n]
afro-cubain	[n] - afrocubano [n]
afrobeat	[n] - afrobeat [n]
Agadir	[np] - Agadir [np]
Agaj	[np] - Agaj [np]
Agamemnon	[np] - Agamenón [np]
Aganzo	[np] - Aganzo [np]
Agapito	[np] - Agapito [np]
Agassi	[np] - Agassi [np]
Agathocle	[np] - Agatocles [np]
Agathon	[np] - Agatón [np]
Agca	[n] - Agca [n]
AGE	[n] - AGE [n]
Agen	[np] - Agen [np]
agence	[n] - agencia [n]
agence	[n] - gestoría [n]
agenda	[n] - agenda [n]
agent	[n] - agente [n]
agent de change	[n.mf] - corredor de bolsa [n.f]
agent de change	[n.mf] - corredor de bolsa [n.GD]
agent de change	[n.mf] - corredor de bolsa [n.m]
agent de change	[n.mf] - corredor de cambio [n.f]
agent de change	[n.mf] - corredor de cambio [n.m]
agent de change	[n.mf] - corredor de comercio [n.f]
agent de change	[n.mf] - corredor de comercio [n.m]
agent de change	[n] - broker [n]
agent de securité privé	[n] - guarda jurado [n]
agents de securité privé	[n] - guardas jurados [n]
AGER	[n] - AGER [n]
Agesta	[np] - Agesta [np]
Aggiano	[np] - Aggiano [np]
agglomération	[n] - aglomeración [n]
aggloméré	[n] - aglomerado [n]
agglutiner	[vblex] - aglutinar [vblex]
aggravant	[adj.f] - agravante [adj.mf]
aggravant	[adj.GD] - agravante [adj.mf]
aggravant	[adj.m] - agravante [adj.mf]
aggravation	[n.f] - agravamiento [n.m]
aggravation	[n] - agravación [n]
aggraver	[vblex] - agravar [vblex]
Agha Khan	[np] - Aga Khan [np]
AGIC	[n] - AGIC [n]
Agil	[np] - Agil [np]
agile	[adj] - ágil [adj]
agilité	[n] - agilidad [n]
Aginaga	[np] - Aginaga [np]
Aginagalde	[np] - Aginagalde [np]
Aginako	[np] - Aginako [np]
agir	[vblex] - actuar [vblex]
agir	[vblex] - tratar [vblex]
agir de	[vblex] - tratar de [vblex]
agir de mèche avec	[vblex] - estar conchabado con [vblex]
Agirre	[np] - Agirre [np]
Agirregomezkorta	[np] - Agirregomezkorta [np]
Agirresarobe	[np] - Agirresarobe [np]
Agirretxe	[np] - Agirretxe [np]
Agirrezabal	[np] - Agirrezabal [np]
Agirrezabala	[np] - Agirrezabala [np]
Agirrezabalaga	[np] - Agirrezabalaga [np]
agitation	[n] - agitación [n]
agiter	[vblex] - agitar [vblex]
Agiña	[np] - Agiña [np]
Aglif	[np] - Aglif [np]
agneau	[n.m] - cordero [n.m]
Agnew	[np] - Agnew [np]
Agnieszka	[np] - Agnieszka [np]
Agnolutto	[np] - Agnolutto [np]
Agnès	[np] - Agnès [np]
Agnès Gonxha Bojaxhiu	[np] - Inés Gonxha Bojaxhiu [np]
AGO	[n] - AGO [n]
Agoitz	[np] - Agoitz [np]
agonie	[n] - agonía [n]
agonisant	[adj.f] - agonizante [adj.mf]
agonisant	[adj.GD] - agonizante [adj.mf]
agonisant	[adj.m] - agonizante [adj.mf]
agoniser	[vblex] - agonizar [vblex]
AGOS	[n] - AGOS [n]
Agossi	[np] - Agossi [np]
Agostino	[np] - Agostino [np]
Agoujil	[np] - Agoujil [np]
AGR	[n.acr] - AGR [n.acr]
Agra	[np] - Agra [np]
agraire	[adj.mf] - agrario [adj.f]
agraire	[adj.mf] - agrario [adj.GD]
agraire	[adj.mf] - agrario [adj.m]
agrandir	[vblex] - agrandar [vblex]
agrandissable	[adj] - ampliable [adj]
agrandissement	[n.m] - ampliación [n.f]
Agres	[np] - Agres [np]
agresser	[vblex] - agredir [vblex]
agresseur	[n] - agresor [n]
agressif	[adj] - agresivo [adj]
agression	[n] - agresión [n]
agressivité	[n] - agresividad [n]
Agricola	[np] - Agrícola [np]
agricole	[adj] - agrícola [adj]
agriculteur	[n] - agricultor [n]
agriculture	[n] - agricultura [n]
Agrigente	[np] - Agrigento [np]
Agrippa	[np] - Agripa [np]
Agrippine	[np] - Agripina [np]
Agritubel	[np] - Agritubel [np]
agro-alimentaire	[adj.mf] - agroalimentario [adj.f]
agro-alimentaire	[adj.mf] - agroalimentario [adj.GD]
agro-alimentaire	[adj.mf] - agroalimentario [adj.m]
agrocarburant	[n] - biocombustible [n]
agrochimie	[n] - agroquímica [n]
agropastoral	[adj] - agropecuario [adj]
agrès	[n.m.sp] - aparato [n.m.ND]
agréable	[adj.mf] - grato [adj.f]
agréable	[adj.mf] - grato [adj.GD]
agréable	[adj.mf] - grato [adj.m]
agréable	[adj] - agradable [adj]
agréablement	[adv] - gratamente [adv]
agréer	[vblex] - aceptar [vblex]
agrégation	[n] - agregación [n]
agréger	[vblex] - agregar [vblex]
agrémenter	[vblex] - adornar [vblex]
Aguado	[np] - Aguado [np]
aguerri	[adj] - aguerrido [adj]
Aguilar	[np] - Aguilar [np]
Aguilares	[np] - Aguilares [np]
Aguilas	[np] - Aguilas [np]
Aguilera	[np] - Aguilera [np]
Aguinaga	[np] - Aguinaga [np]
Aguinagalde	[np] - Aguinagalde [np]
Aguirre	[np] - Aguirre [np]
Aguirregomezkorta	[np] - Aguirregomezkorta [np]
Aguirresarobe	[np] - Aguirresarobe [np]
Aguirrezabala	[np] - Aguirrezabala [np]
Aguirrezabalaga	[np] - Aguirrezabalaga [np]
Agulló	[np] - Agulló [np]
Agundez	[np] - Agundez [np]
Aguobo	[np] - Aguobo [np]
Agurain	[np] - Agurain [np]
Aguri	[np] - Aguri [np]
Agurne	[np] - Agurne [np]
Agurtzane	[np] - Agurtzane [np]
Agustin	[np] - Agustin [np]
Agustina	[np] - Agustina [np]
Agustines	[np] - Agustinas [np]
Agustín	[np] - Agustín [np]
Agénor	[np] - Agenor [np]
Agúndez	[np] - Agúndez [np]
Agüero	[np] - Agüero [np]
ah	[ij] - ah [ij]
AHE	[n] - AHE [n]
Ahedo	[np] - Ahedo [np]
Ahern	[np] - Ahern [np]
Ahmad	[np] - Ahmad [np]
Ahmadinejad	[np] - Ahmadinejad [np]
Ahmed	[np] - Ahmed [np]
Ahmet	[np] - Ahmet [np]
Ahonen	[np] - Ahonen [np]
Ahrayi	[np] - Ahrayi [np]
Ahtisaari	[np] - Ahtisaari [np]
AI	[n] - AI [n]
AIA	[n] - AIA [n]
Aia	[np] - Aia [np]
Aiala	[np] - Aiala [np]
Aiastui	[np] - Aiastui [np]
AIB	[n] - AIB [n]
Aibar	[np] - Aibar [np]
Aiboa	[np] - Aiboa [np]
Aichi	[np] - Aichi [np]
AID	[n] - AID [n]
Aida	[np] - Aida [np]
Aidan	[np] - Aidan [np]
aide	[n.f] - ayuda [n.f]
aide-architecte	[n.mf] - aparejador [n.f]
aide-architecte	[n.mf] - aparejador [n.GD]
aide-architecte	[n.mf] - aparejador [n.m]
aide-starter	[n] - ayudante del juez de salida [n]
aider	[vblex] - auxiliar [vblex]
aider	[vblex] - ayudar [vblex]
Aierbe	[np] - Aierbe [np]
Aierdi	[np] - Aierdi [np]
Aiert	[np] - Aiert [np]
Aiestaran	[np] - Aiestaran [np]
Aiete	[np] - Aiete [np]
Aigle	[np] - Aigle [np]
aigle	[n.mf] - águila [n.f]
aiglon	[n.f] - aguilucho [n.m]
aiglon	[n.GD] - aguilucho [n.m]
aiglon	[n.m] - aguilucho [n.m]
aigre	[adj.mf] - agrio [adj.f]
aigre	[adj.mf] - agrio [adj.GD]
aigre	[adj.mf] - agrio [adj.m]
aigre-doux	[adj.f] - agridulce [adj.mf]
aigre-doux	[adj.GD] - agridulce [adj.mf]
aigre-doux	[adj.m.sp] - agridulce [adj.mf.ND]
aigu	[adj] - agudo [adj]
aigu	[n] - agudo [n]
Aigueperse	[np] - Aigueperse [np]
aiguille	[n.f] - aguja [n.f]
aiguiller	[vblex] - orientar [vblex]
Aiguillon	[np] - Aiguillon [np]
aiguisé	[adj] - afilado [adj]
Aigüestortes et lac Saint Maurice	[np] - Aigües Tortes y Lago de San Mauricio [np]
Aikman	[np] - Aikman [np]
ail	[n] - ajo [n]
Ailanto	[np] - Ailanto [np]
aile	[n] - ala [n]
ailleurs	[adv] - en otro lugar [adv]
aimable	[adj] - amable [adj]
aimablement	[adv] - amablemente [adv]
aimant	[adj] - cariñoso [adj]
aimant	[n] - imán [n]
Aimar	[np] - Aimar [np]
aimer	[vblex] - amar [vblex]
aimer bien	[vblex] - preferir [vblex]
Ain	[np] - Ain [np]
Ainara	[np] - Ainara [np]
Ainars	[np] - Ainars [np]
aine	[n.f] - ingle [n.f]
Aingeru	[np] - Aingeru [np]
Ainhara	[np] - Ainhara [np]
Ainhize	[np] - Ainhize [np]
Ainhoa	[np] - Ainhoa [np]
Ainhoa Arteta	[np] - Ainhoa Arteta [np]
ainsi	[adv] - así mismo [adv]
ainsi	[adv] - así [adv]
ainsi de suite	[adv] - así sucesivamente [adv]
Ainsi parlait Zarathoustra	[np] - Así habló Zaratustra [np]
ainsi qu'il appartiendra	[adv] - según proceda [adv]
ainsi que	[cnjadv] - así como [cnjadv]
ainsi que	[cnjadv] - tal y como [cnjadv]
Aintzane	[np] - Aintzane [np]
AIOCC	[n] - AIOCC [n]
Aiora	[np] - Aiora [np]
Air	[np] - Air [np]
air	[n] - aire [n]
Air France	[np] - Air France [np]
Air France-KLM	[np] - Air France-KLM [np]
Aira	[np] - Aira [np]
Airbag	[np] - Airbag [np]
airbag	[n] - airbag [n]
Airbus	[np] - Airbus [np]
aire	[n] - área [n]
AIRUB	[n] - AIRUB [n]
AISA	[n] - AISA [n]
aisance	[n] - facilidad [n]
aisance	[n] - soltura [n]
aise	[n] - comodidad [n]
Aisha	[np] - Aisha [np]
Aisne	[np] - Aisne [np]
aisselle	[n] - axila [n]
aisé	[adj.f] - fácil [adj.mf]
aisé	[adj.m] - fácil [adj.mf]
aisément	[adv] - fácilmente [adv]
Aita Mari	[np] - Aita Mari [np]
AITAN	[n] - AITAN [n]
Aitana	[np] - Aitana [np]
Aitken	[np] - Aitken [np]
Aitor	[np] - Aitor [np]
Aitza	[np] - Aitza [np]
Aitziber	[np] - Aitziber [np]
Aitzol	[np] - Aitzol [np]
Aitzpea	[np] - Aitzpea [np]
Aiuriagerra	[np] - Aiuriagerra [np]
Aix-en-Provence	[np] - Aix-en-Provence [np]
Aix-en-Provence	[np] - Aix-en-Provenza [np]
Aix-la-Chapelle	[np] - Aquisgrán [np]
Aix-les-Bains	[np] - Aix-les-Bains [np]
Aixerrota	[np] - Aixerrota [np]
Aiye	[np] - Aiye [np]
Aizarna	[np] - Aizarna [np]
Aizarnazabal	[np] - Aizarnazabal [np]
Aizpitarte	[np] - Aizpitarte [np]
Aizpuru	[np] - Aizpuru [np]
Aiztondo	[np] - Aiztondo [np]
Ajaccio	[np] - Ajaccio [np]
Ajangiz	[np] - Ajangiz [np]
Ajax	[np] - Ajax [np]
AJE	[n] - AJE [n]
AJI	[n] - AJI [n]
ajournement	[n] - aplazamiento [n]
ajourner	[vblex] - aplazar [vblex]
ajouter	[vblex] - añadir [vblex]
ajouter	[vblex] - sumar [vblex]
ajouter son grain de sel	[vblex] - echar su cuarto a espadas [vblex]
ajouté	[adj] - agregado [adj]
Ajuria	[np] - Ajuria [np]
Ajuria Enea	[np] - Ajuria Enea [np]
Ajuriaguerra	[np] - Ajuriaguerra [np]
ajustage	[n] - ajuste [n]
ajuster	[vblex] - ajustar [vblex]
AKA	[n] - AKA [n]
Akab	[np] - Akab [np]
Akarregi	[np] - Akarregi [np]
Akasvayu	[np] - Akasvayu [np]
Akauzazte	[np] - Akauzazte [np]
Akayev	[np] - Akayev [np]
Akbar	[np] - Akbar [np]
Aketa	[np] - Aketa [np]
Aketza	[np] - Aketza [np]
Akhmed	[np] - Akhmed [np]
Akihito	[np] - Akihito [np]
Akim	[np] - Akim [np]
Akin	[np] - Akin [np]
Akinfeev	[np] - Akinfeev [np]
Akira	[np] - Akira [np]
Akita	[np] - Akita [np]
Akjoujt	[np] - Akjoujt [np]
Akkad	[np] - Acad [np]
Akkar	[np] - Akkar [np]
Akko	[np] - Akko [np]
Akos	[np] - Akos [np]
Akosombo	[np] - Akosombo [np]
Akram	[np] - Akram [np]
Akrami	[np] - Akrami [np]
akramite	[adj] - akramita [adj]
Akranes	[np] - Akranes [np]
Akropost	[np] - Akropost [np]
Akrotiri et Dhekelia	[np] - Acrotiri y Dhekelia [np]
Aksa	[np] - Aksa [np]
AKUD	[n] - AKUD [n]
Akud Arnolds	[np] - Akud Arnolds [np]
Al Gore	[np] - Al Gore [np]
Al-Agsa	[np] - Al-Agsa [np]
Al-Ahram	[np] - Al-Ahram [np]
Al-Andalus	[np] - Al-Andalus [np]
Al-Aqsa	[np] - Al-Aqsa [np]
Al-Arabiya	[np] - Al-Arabiya [np]
al-Jezira	[np] - Al Yazira [np]
al-Maliki	[np] - al-Maliki [np]
Al-Mansour	[np] - Almanzor [np]
Al-Qaida	[np] - Al Qaeda [np]
Al-Qaida	[np] - Al-Qaida [np]
al-Zawahiri	[np] - Al-Zawahiri [np]
Alabama	[np] - Alabama [np]
Alabana	[np] - Alabana [np]
Aladin	[np] - Aladino [np]
Alagon	[np] - Alagón [np]
Alah	[np] - Alah [np]
Alaimo	[np] - Alaimo [np]
Alain	[np] - Alain [np]
Alaitz	[np] - Alaitz [np]
Alaksi	[np] - Alaksi [np]
alambic	[n] - alambique [n]
Alan	[np] - Alan [np]
Alan García	[np] - Alan García Pérez [np]
Aland	[np] - Aland [np]
Alaoui	[np] - Alaui [np]
Alapuzha	[np] - Alapuzha [np]
Alarcia	[np] - Alarcia [np]
Alarcón	[np] - Alarcón [np]
alarmant	[adj.f] - alarmante [adj.mf]
alarmant	[adj.GD] - alarmante [adj.mf]
alarmant	[adj.m] - alarmante [adj.mf]
alarme	[n] - alarma [n]
alarmer	[vblex] - alarmar [vblex]
alarmiste	[n] - alarmista [n]
Alasdair	[np] - Alasdair [np]
Alaska	[np] - Alaska [np]
Alastruey	[np] - Alastruey [np]
Alatriste	[np] - Alatriste [np]
Alavaro	[np] - Alavaro [np]
Alavoine	[np] - Alavoine [np]
Alavés	[np] - Alavés [np]
Alawi	[np] - Alawi [np]
Alawwa	[np] - Alawwa [np]
Alazne	[np] - Alazne [np]
Alaña	[np] - Alaña [np]
Albacete	[np] - Albacete [np]
Albadalejo	[np] - Albadalejo [np]
Albaida	[np] - Albaida [np]
Alban	[np] - Alban [np]
albanais du kosovo	[adj.f] - albanokosovar [adj.mf]
albanais du kosovo	[adj.GD] - albanokosovar [adj.mf]
albanais du kosovo	[adj.m.sp] - albanokosovar [adj.mf.ND]
Albanie	[np] - Albania [np]
Albardias	[np] - Albardias [np]
Albasini	[np] - Albasini [np]
Albatera	[np] - Albatera [np]
Albelda	[np] - Albelda [np]
Alberca	[np] - Alberca [np]
Alberche	[np] - Alberche [np]
Alberdi	[np] - Alberdi [np]
Albero	[np] - Albero [np]
Albers	[np] - Albers [np]
Albert	[np] - Albert [np]
Albert Ier de Monaco	[np] - Alberto I de Mónaco [np]
Albertini	[np] - Albertini [np]
Alberto	[np] - Alberto [np]
Alberto Iglesias	[np] - Alberto Iglesias [np]
Albertville	[np] - Albertville [np]
Albese	[np] - Albese [np]
Albi	[np] - Albi [np]
Albia	[np] - Albia [np]
Albina	[np] - Albina [np]
Albini	[np] - Albini [np]
Albiol	[np] - Albiol [np]
Albistur	[np] - Albistur [np]
Albisu	[np] - Albisu [np]
Albizu	[np] - Albizu [np]
Albizua	[np] - Albizua [np]
Albizuri	[np] - Albizuri [np]
alboka	[n] - alboka [n]
Albrecht Altdorfer	[np] - Albrecht Altdorfer [np]
Albrecht Dürer	[np] - Alberto Durero [np]
Albuera	[np] - Albuera [np]
album	[n] - álbum [n]
Albuquerque	[np] - Albuquerque [np]
Alburquerque	[np] - Alburquerque [np]
Albuñol	[np] - Albuñol [np]
albédo	[n] - albedo [n]
albédomètre	[n] - albedómetro [n]
Albéniz	[np] - Albéniz [np]
Alcaes	[np] - Alcaes [np]
Alcain	[np] - Alcain [np]
Alcaine	[np] - Alcaine [np]
Alcala Meco	[np] - Alcala Meco [np]
Alcalá	[np] - Alcalá [np]
Alcalá de Henares	[np] - Alcalá de Henares [np]
Alcampo	[np] - Alcampo [np]
Alcamène	[np] - Alcámenes [np]
Alcanar	[np] - Alcanar [np]
Alcaraz	[np] - Alcaraz [np]
Alcatel	[np] - Alcatel [np]
Alcatel-Lucent	[np] - Alcatel-Lucent [np]
Alcatraz	[np] - Alcatraz [np]
alcazar	[n] - alcázar [n]
Alcañiz	[np] - Alcañiz [np]
Alceste	[np.al] - Alceste [np.al]
Alceste	[np.ant] - Alcestis [np.ant]
alchimie	[n] - alquimia [n]
alchimiste	[n] - alquimista [n]
Alcira	[np] - Alcira [np]
Alcira	[np] - Alzira [np]
Alcoa	[np] - Alcoa [np]
Alcobasa	[np] - Alcobasa [np]
Alcobaça	[np] - Alcobaça [np]
Alcobendas	[np] - Alcobendas [np]
Alcoi	[np] - Alcoi [np]
Alconchel	[np] - Alconchel [np]
alcool	[n] - alcohol [n]
alcoolique	[adj.mf] - alcohólico [adj.f]
alcoolique	[adj.mf] - alcohólico [adj.GD]
alcoolique	[adj.mf] - alcohólico [adj.m]
alcoolique	[n.mf] - alcohólico [n.f]
alcoolique	[n.mf] - alcohólico [n.GD]
alcoolique	[n.mf] - alcohólico [n.m]
alcoolisme	[n.f] - alcoholismo [n.m]
alcoolisé	[adj] - alcoholizado [adj]
alcoolémie	[n] - alcoholemia [n]
Alcorcón	[np] - Alcorcón [np]
Alcoy	[np] - Alcoy [np]
ALCRESA	[n] - ALCRESA [n]
Alcàsser	[np] - Alcàsser [np]
Alcàsser	[np] - Alcácer [np]
Alcácer	[np] - Alcácer [np]
Alcántara	[np] - Alcántara [np]
Alcée	[np] - Alceo [np]
Alcúdia	[np] - Alcudia [np]
Alda	[np] - Alda [np]
Aldag	[np] - Aldag [np]
Aldai	[np] - Aldai [np]
Aldaia	[np] - Aldaia [np]
Aldaia	[np] - Aldaya [np]
Aldaketa	[np] - Aldaketa [np]
Aldalur	[np] - Aldalur [np]
Aldamar	[np] - Aldamar [np]
Aldamiz	[np] - Aldamiz [np]
Aldana	[np] - Aldana [np]
Aldanondo	[np] - Aldanondo [np]
Aldape	[np] - Aldape [np]
Aldapeta	[np] - Aldapeta [np]
Aldarete	[np] - Aldarete [np]
Aldasoro	[np] - Aldasoro [np]
Alday	[np] - Alday [np]
Aldaya	[np] - Aldaya [np]
Aldazabal	[np] - Aldazabal [np]
Aldeanueva	[np] - Aldeanueva [np]
Aldeaseñor	[np] - Aldeaseñor [np]
Aldecoa	[np] - Aldecoa [np]
Aldekoa	[np] - Aldekoa [np]
Aldema	[np] - Aldema [np]
Alderdi	[np] - Alderdi [np]
Aldezabal	[np] - Aldezabal [np]
Aldgate	[np] - Aldgate [np]
Aldi	[np] - Aldi [np]
AlDia	[np] - AlDia [np]
Aldin	[np] - Aldin [np]
Aldiri	[np] - Aldiri [np]
Aldo	[np] - Aldo [np]
Aldomar	[np] - Aldomar [np]
Aldonin	[np] - Aldonin [np]
Aldrove	[np] - Aldrove [np]
Aldudes	[np] - Aldudes [np]
Aldunate	[np] - Aldunate [np]
Aldunin	[np] - Aldunin [np]
Alduntzin	[np] - Alduntzin [np]
Aldunza	[np] - Aldunza [np]
Aldébaran	[np] - Aldebarán [np]
ALE	[n] - ALE [n]
Alea	[np] - Alea [np]
Aleandro	[np] - Aleandro [np]
Alec	[np] - Alec [np]
Alegi	[np] - Alegi [np]
Alegia	[np] - Alegia [np]
Alegria	[np] - Alegria [np]
Alegría	[np] - Alegría [np]
Alegría Dulantzi	[np] - Alegría Dulantzi [np]
Aleic	[np] - Aleic [np]
Aleida	[np] - Aleida [np]
Aleix	[np] - Aleix [np]
Aleixandre	[np] - Aleixandre [np]
Alejandra	[np] - Alejandra [np]
Alejandro	[np] - Alejandro [np]
Aleksandrs	[np] - Aleksandrs [np]
Aleksey	[np] - Aleksey [np]
Alem	[np] - Alem [np]
Alemán	[np] - Alemán [np]
Alena	[np] - Alena [np]
Alenia	[np] - Alenia [np]
alentours	[n] - aledaños [n]
Alençon	[np] - Alençon [np]
Alep	[np] - Alepo [np]
alerte	[adv] - alerta [adv]
alerter	[vblex] - alertar [vblex]
Alessandra	[np] - Alessandra [np]
Alessandro	[np] - Alessandro [np]
Alessandro Algardi	[np] - Alessandro Algardi [np]
Alessio	[np] - Alessio [np]
Alex	[np] - Alex [np]
Alexa	[np] - Alexa [np]
Alexander	[np] - Alexander [np]
Alexandr	[np] - Alexandr [np]
Alexandra	[np] - Alexandra [np]
Alexandre	[np] - Alexandre [np]
Alexandre Dumas	[np] - Alejandro Dumas [np]
Alexandre Farnèse	[np] - Alejandro Farnesio [np]
Alexandre le Grand	[np] - Alejandro Magno [np]
Alexandrie	[np] - Alejandría [np]
Alexandro	[np] - Alexandro [np]
Alexandros	[np] - Alexandros [np]
Alexei	[np] - Alexei [np]
Alexey	[np] - Alexey [np]
Alexis	[np] - Alexis [np]
Alexssandra	[np] - Alexssandra [np]
Alexssandro	[np] - Alexssandro [np]
Alfa	[np] - Alfa [np]
Alfa Romeo	[np] - Alfa Romeo [np]
Alfaguara	[np] - Alfaguara [np]
Alfalfas	[np] - Alfalfas [np]
Alfaro	[np] - Alfaro [np]
Alfaz del Pi	[np] - Alfaz del Pi [np]
Alfie	[np] - Alfie [np]
Alfons	[np] - Alfons [np]
Alfonsina	[np] - Alfonsina [np]
Alfonso	[np] - Alfonso [np]
Alfontso	[np] - Alfontso [np]
Alfre	[np] - Alfre [np]
Alfred	[np] - Alfred [np]
Alfred Gusenbauer	[np] - Alfred Gusenbauer [np]
Alfred Moisiu	[np] - Alfred Moisiu [np]
Alfredo	[np] - Alfredo [np]
ALFUS	[n] - ALFUS [n]
Alfus Tedes	[np] - Alfus Tedes [np]
Algar	[np] - Algar [np]
Algarra	[np] - Algarra [np]
Algarve	[np] - Algarve [np]
Algeciras	[np] - Algeciras [np]
Alger	[np] - Argel [np]
Algorri	[np] - Algorri [np]
Algorta	[np] - Algorta [np]
algue	[n] - alga [n]
Algérie	[np.loc] - Argelia [np.loc]
Algérie	[np] - Argelia [np]
algérien	[adj] - argelino [adj]
Alhama	[np] - Alhama [np]
Alhambra	[np] - Alhambra [np]
Alhucemas	[np] - Alhucemas [np]
Ali	[np] - Ali [np]
Ali	[np] - Alí [np]
Aliaksandr	[np] - Aliaksandr [np]
Aliance Evangélique	[np] - Alianza Evangelica [np]
Alianzo	[np] - Alianzo [np]
Alias	[np] - Alias [np]
Alias Wavefront	[np] - Alias Wavefront [np]
Alicante	[np] - Alacant [np]
Alicante	[np] - Alicante [np]
Alice	[np] - Alice [np]
Alice au pays des merveilles	[np] - Alicia en el país de las maravillas [np]
Alicia	[np] - Alicia [np]
Alide	[np] - Alide [np]
Alidis	[np] - Alidis [np]
Alien	[np] - Alien [np]
Aliez	[np] - Aliez [np]
alignement	[n.m] - alineación [n.f]
aligner	[vblex] - alinear [vblex]
aligneur	[n] - alineador [n]
alimentaire	[adj.mf] - alimentario [adj.f]
alimentaire	[adj.mf] - alimentario [adj.GD]
alimentaire	[adj.mf] - alimentario [adj.m]
alimentaire	[adj.mf] - alimenticio [adj.f]
alimentaire	[adj.mf] - alimenticio [adj.GD]
alimentaire	[adj.mf] - alimenticio [adj.m]
alimentation	[n] - alimentación [n]
alimenter	[vblex] - alimentar [vblex]
Alina	[np] - Alina [np]
alinéa	[n] - apartado [n]
Alirio	[np] - Alirio [np]
Alis	[np] - Alis [np]
Alitalia	[np] - Alitalia [np]
Alive	[np] - Alive [np]
Alix	[np] - Alix [np]
Alizée	[np] - Alizée [np]
alizés	[adj] - alisios [adj]
alizés	[n] - alisios [n]
aliénation	[n] - alienación [n]
aliénation	[n] - enajenación [n]
Aljan	[np] - Aljan [np]
Alkain	[np] - Alkain [np]
Alkalde	[np] - Alkalde [np]
Alkarbide	[np] - Alkarbide [np]
Alkartasuna	[np] - Alkartasuna [np]
Alkiza	[np] - Alkiza [np]
Alkmaar	[np] - Alkmaar [np]
Alkorta	[np] - Alkorta [np]
Allah	[np] - Allah [np]
allaitement	[n.m] - lactancia [n.f]
allaiter	[vblex] - amamantar [vblex]
Allaman	[np] - Allaman [np]
Allan	[np] - Allan [np]
Allan Bo	[np] - Allan Bo [np]
allant	[adj] - activo [adj]
allant	[n.m] - disposición [n.f]
Allary	[np] - Allary [np]
Allawi	[np] - Allawi [np]
Alleghe	[np] - Alleghe [np]
Allegheny	[np] - Allegheny [np]
Allegre	[np] - Allegre [np]
Allegrini	[np] - Allegrini [np]
allegro	[n] - allegro [n]
Allekema	[np] - Allekema [np]
Alleluia	[np] - Alleluia [np]
Allemagne	[np] - Alemania [np]
allemand	[adj] - alemán [adj]
allemand	[n] - alemán [n]
Allen	[np] - Allen [np]
Aller	[np] - Aller [np]
aller	[n.m] - ida [n.f]
aller	[vblex] - ir [vblex]
aller chez le diable	[vblex] - ir al diablo [vblex]
aller en prison	[vblex] - ingresar en prisión [vblex]
aller-retour	[n.m] - ida y vuelta [n.f]
allergie	[n] - alergia [n]
Alleyhoop	[np] - Alleyhoop [np]
Allgemeine	[np] - Allgemeine [np]
Alli	[np] - Alli [np]
alliage	[n.m] - aleación [n.f]
alliance	[n] - alianza [n]
Allianz	[np] - Allianz [np]
Allier	[np] - Allier [np]
allier	[vblex] - aliar [vblex]
allier	[vblex] - aunar [vblex]
Alliot-Marie	[np] - Alliot-Marie [np]
Allison	[np] - Allison [np]
allitération	[n] - aliteración [n]
allié	[n] - aliado [n]
Allman	[np] - Allman [np]
Allo	[np] - Allo [np]
Alloatti	[np] - Alloatti [np]
allocution	[n] - alocución [n]
allonger	[vblex] - alargar [vblex]
Allouch	[np] - Allouch [np]
allouer	[vblex] - conceder [vblex]
Alloz	[np] - Alloz [np]
Alltel	[np] - Alltel [np]
Allue	[np] - Allue [np]
Alluitz	[np] - Alluitz [np]
allumer	[vblex] - encender [vblex]
allure	[n.f] - aspecto [n.m]
allusif	[adj] - alusivo [adj]
allusion	[n] - alusión [n]
alluvion	[n.f] - aluvión [n.m]
allègement	[n.m] - bonificación [n.f]
allègrement	[adv] - alegremente [adv]
allégation	[n] - alegación [n]
allégement	[n.m] - bonificación [n.f]
allégement fiscal	[n.m] - bonificación fiscal [n.f]
alléger	[vblex] - aligerar [vblex]
allégorie	[n] - alegoría [n]
allégresse	[n] - joya [n]
alléguer	[vblex] - aducir [vblex]
alléguer	[vblex] - alegar [vblex]
ALM	[np] - ALM [np]
Almadia	[np] - Almadia [np]
Almageste	[np] - Almagesto [np]
Almagro	[np] - Almagro [np]
Almandoz	[np] - Almandoz [np]
Almansa	[np] - Almansa [np]
Almaty	[np] - Almaty [np]
